event_id,household_id,stock_id,product_id,product_name,action_type,quantity,timestamp,expiry_date,classification,location,category_name,dias_para_vencer,nutriscore,calories_100g,proteins_100g,carbs_100g
abe14959-9,3,2b5836f4,27966,Organic Raspberries,IN,2,2026-03-15T13:33:36.000000,2026-03-22,Purchase,Refrigerador,Frutas y Verduras,7,B,50.0,1.43,12.1
39ccee30-a,4,f9e17f0f,17794,Carrots,OUT,1,2026-04-23T08:32:36.000000,2026-04-25,Consumption,Refrigerador,Frutas y Verduras,2,A,38.0,1.28,8.97
03660175-6,3,188b9c63,21616,Organic Baby Arugula,IN,2,2026-04-01T13:06:36.000000,2026-04-08,Purchase,Refrigerador,Frutas y Verduras,7,A,25.0,2.82,3.52
d704db02-9,1,54384ea8,24964,Organic Garlic,IN,3,2026-04-30T08:09:36.000000,2026-05-07,Purchase,Refrigerador,Frutas y Verduras,7,C,167.0,0.0,33.3
30019698-2,6,e4b37ec8,10749,Organic Red Bell Pepper,OUT,1,2026-03-14T23:59:59.000000,2026-03-11,Forced_Waste,Refrigerador,Frutas y Verduras,-3,,,0.896,6.65
588383f2-8,9,db0769c7,40706,Organic Grape Tomatoes,OUT,1,2026-02-18T15:34:36.000000,2026-02-21,Consumption,Refrigerador,Frutas y Verduras,3,A,36.0,1.19,7.14
b9da0055-e,7,500e0b80,42265,Organic Baby Carrots,IN,2,2026-03-15T10:25:36.000000,2026-03-22,Purchase,Refrigerador,Frutas y Verduras,7,A,35.0,1.18,8.24
22643a75-4,5,96e1f533,28985,Michigan Organic Kale,IN,3,2026-02-06T13:30:36.000000,2026-02-13,Purchase,Refrigerador,Frutas y Verduras,7,A,35.0,2.92,4.42
31c43ace-0,8,d1e39eca,27086,Half & Half,OUT,1,2026-02-17T16:58:36.000000,2026-03-01,Consumption,Refrigerador,Lacteos y Refrigerados,12,B,131.0,3.13,4.3
0a56672c-2,9,b43923d7,35951,Organic Unsweetened Almond Milk,OUT,1,2026-02-19T21:55:36.000000,2026-02-22,Consumption,Refrigerador,Lacteos y Refrigerados,3,A,15.0,0.55,0.34
11722a5e-d,0,03abe179,27966,Organic Raspberries,OUT,1,2026-03-22T22:52:36.000000,2026-03-27,Consumption,Refrigerador,Frutas y Verduras,5,B,50.0,1.43,12.1
