tabla,columna,dtype,nulos,pct_nulos,cardinalidad,muestra_valores
catalog_raw,proteins_100g,float64,0,0.0,34,"['11.6', '2.98', '2.92', '7.43', '0.0']"
catalog_raw,carbs_100g,float64,0,0.0,40,"['14.3', '6.25', '7.36', '14.7', '4.21']"
catalog_raw,calories_100g,float64,7,14.0,30,"['256.0', '427.0', '0.0', '36.0', '62.0']"
catalog_raw,product_id,int64,0,0.0,50,"['21616', '45007', '28985', '27086', '8518']"
catalog_raw,product_name,object,0,0.0,50,"['Organic Grape Tomatoes', 'Seedless Red Grapes', 'Limes', 'Fresh Cauliflower', 'Organic Avocado']"
catalog_raw,category,int64,0,0.0,6,"['4', '7', '3', '16', '20']"
catalog_raw,nutriscore,object,0,0.0,5,"['C', 'B', 'A', 'Falta Dato', 'D']"
movements_raw,event_id,object,0,0.0,25819,"['d2ef3807-1', 'e027f9c6-6', '9186edcb-0', 'ed6472da-2', '3ba9acae-0']"
movements_raw,household_id,int64,0,0.0,10,"['4', '5', '7', '3', '2']"
movements_raw,stock_id,object,0,0.0,11581,"['26a68c56', 'e6cfd47e', 'ca642cce', 'c03d2c03', 'eafa6654']"
movements_raw,product_id,int64,0,0.0,50,"['21616', '45007', '28985', '27086', '8518']"
movements_raw,product_name,object,0,0.0,50,"['Organic Grape Tomatoes', 'Seedless Red Grapes', 'Limes', 'Fresh Cauliflower', 'Organic Avocado']"
movements_raw,event_type,object,0,0.0,2,"['IN', 'OUT']"
movements_raw,quantity,int64,0,0.0,3,"['3', '2', '1']"
movements_raw,timestamp,object,0,0.0,19624,"['2026-03-18 01:11:36', '2026-03-15 18:52:36', '2026-04-13 11:40:36', '2026-02-28 06:51:36', '2026-04-16 13:13:36']"
movements_raw,expiry_date,object,0,0.0,113,"['2026-02-22', '2026-05-13', '2026-03-19', '2026-02-12', '2026-04-07']"
movements_raw,classification,object,0,0.0,4,"['Consumption', 'Waste', 'Forced_Waste', 'Purchase']"
inventory_v1,event_id,object,0,0.0,25819,"['d2ef3807-1', 'e027f9c6-6', '9186edcb-0', 'ed6472da-2', '3ba9acae-0']"
inventory_v1,household_id,int64,0,0.0,10,"['4', '5', '7', '3', '2']"
inventory_v1,stock_id,object,0,0.0,11581,"['26a68c56', 'e6cfd47e', 'ca642cce', 'c03d2c03', 'eafa6654']"
inventory_v1,product_id,int64,0,0.0,50,"['21616', '45007', '28985', '27086', '8518']"
inventory_v1,product_name,object,0,0.0,50,"['Organic Grape Tomatoes', 'Limes', 'Seedless Red Grapes', 'Fresh Cauliflower', 'Organic Avocado']"
inventory_v1,action_type,object,0,0.0,2,"['IN', 'OUT']"
inventory_v1,quantity,int64,0,0.0,3,"['3', '2', '1']"
inventory_v1,timestamp,object,0,0.0,19624,"['2026-02-09T18:46:36.000000', '2026-02-10T20:05:36.000000', '2026-04-20T10:09:36.000000', '2026-04-27T17:43:36.000000', '2026-04-03T08:56:36.000000']"
inventory_v1,expiry_date,object,0,0.0,113,"['2026-02-22', '2026-05-13', '2026-03-19', '2026-02-12', '2026-04-07']"
inventory_v1,classification,object,0,0.0,4,"['Consumption', 'Waste', 'Forced_Waste', 'Purchase']"
inventory_v1,location,object,0,0.0,3,"['Despensa', 'Refrigerador', 'Estante']"
inventory_v1,category_name,object,0,0.0,6,"['Frutas y Verduras', 'Lacteos y Refrigerados', 'Congelados', 'Bebidas', 'Panaderia y Granos']"
inventory_v1,dias_para_vencer,int64,0,0.0,34,"['-2', '4', '-1', '12', '9']"
inventory_v1,nutriscore,object,3576,13.9,4,"['B', 'A', 'C', 'D']"
inventory_v1,calories_100g,float64,3576,13.9,30,"['256.0', '427.0', '0.0', '36.0', '62.0']"
inventory_v1,proteins_100g,float64,0,0.0,34,"['11.6', '2.98', '2.92', '0.0', '1.19']"
inventory_v1,carbs_100g,float64,0,0.0,40,"['14.3', '6.25', '7.36', '4.21', '14.7']"
