household_id,semana_iso,location,eventos_out,eventos_waste,eventos_consumo,costo_perdido,costo_consumido,tasa_desperdicio
0,2026-W06,Despensa,5,0,5,0.0,60.5,0.0
0,2026-W06,Estante,1,0,1,0.0,7.5,0.0
0,2026-W06,Refrigerador,70,0,70,0.0,481.5,0.0
0,2026-W07,Despensa,3,0,3,0.0,28.0,0.0
0,2026-W07,Estante,6,0,6,0.0,60.0,0.0
0,2026-W07,Refrigerador,75,2,73,13.5,526.5,0.0267
0,2026-W08,Despensa,3,0,3,0.0,23.0,0.0
0,2026-W08,Estante,1,0,1,0.0,15.0,0.0
0,2026-W08,Refrigerador,79,24,55,153.0,549.0,0.3038
0,2026-W09,Despensa,5,0,5,0.0,50.5,0.0
0,2026-W09,Estante,1,0,1,0.0,7.5,0.0
0,2026-W09,Refrigerador,110,47,63,364.5,765.0,0.4273
0,2026-W10,Despensa,4,0,4,0.0,41.0,0.0
0,2026-W10,Estante,1,0,1,0.0,15.0,0.0
0,2026-W10,Refrigerador,130,48,82,352.5,883.5,0.3692
0,2026-W11,Despensa,2,0,2,0.0,11.5,0.0
0,2026-W11,Estante,7,0,7,0.0,67.5,0.0
0,2026-W11,Refrigerador,125,74,51,598.5,1033.5,0.592
0,2026-W12,Despensa,5,0,5,0.0,44.5,0.0
0,2026-W12,Estante,5,0,5,0.0,60.0,0.0
0,2026-W12,Refrigerador,130,74,56,598.5,990.0,0.5692
0,2026-W13,Despensa,3,1,2,10.0,23.0,0.3333
0,2026-W13,Estante,6,0,6,0.0,90.0,0.0
0,2026-W13,Refrigerador,111,42,69,325.5,823.5,0.3784
0,2026-W14,Despensa,5,2,3,10.0,44.5,0.4
0,2026-W14,Estante,4,0,4,0.0,45.0,0.0
0,2026-W14,Refrigerador,99,34,65,256.5,696.0,0.3434
0,2026-W15,Despensa,7,0,7,0.0,45.5,0.0
0,2026-W15,Estante,6,0,6,0.0,45.0,0.0
0,2026-W15,Refrigerador,90,0,90,0.0,597.0,0.0
0,2026-W16,Despensa,4,0,4,0.0,26.0,0.0
0,2026-W16,Estante,3,0,3,0.0,22.5,0.0
0,2026-W16,Refrigerador,85,16,69,117.0,616.5,0.1882
0,2026-W17,Despensa,4,0,4,0.0,23.0,0.0
0,2026-W17,Estante,3,0,3,0.0,22.5,0.0
0,2026-W17,Refrigerador,79,10,69,63.0,550.5,0.1266
0,2026-W18,Despensa,5,0,5,0.0,40.0,0.0
0,2026-W18,Estante,3,0,3,0.0,30.0,0.0
0,2026-W18,Refrigerador,55,4,51,22.5,334.5,0.0727
1,2026-W05,Refrigerador,1,0,1,0.0,4.5,0.0
1,2026-W06,Despensa,1,0,1,0.0,5.0,0.0
1,2026-W06,Refrigerador,63,0,63,0.0,423.0,0.0
1,2026-W07,Estante,3,0,3,0.0,30.0,0.0
1,2026-W07,Refrigerador,65,3,62,13.5,424.5,0.0462
1,2026-W08,Despensa,2,0,2,0.0,39.0,0.0
1,2026-W08,Estante,5,0,5,0.0,45.0,0.0
1,2026-W08,Refrigerador,99,40,59,295.5,759.0,0.404
1,2026-W09,Despensa,5,0,5,0.0,36.5,0.0
1,2026-W09,Estante,5,0,5,0.0,45.0,0.0
1,2026-W09,Refrigerador,114,41,73,318.0,840.0,0.3596
1,2026-W10,Despensa,2,0,2,0.0,10.0,0.0
1,2026-W10,Estante,2,0,2,0.0,30.0,0.0
1,2026-W10,Refrigerador,99,52,47,420.0,775.5,0.5253
1,2026-W11,Despensa,10,1,9,10.0,76.5,0.1
1,2026-W11,Estante,8,0,8,0.0,90.0,0.0
1,2026-W11,Refrigerador,113,74,39,580.5,852.0,0.6549
1,2026-W12,Despensa,6,1,5,5.0,46.5,0.1667
1,2026-W12,Estante,10,2,8,30.0,105.0,0.2
1,2026-W12,Refrigerador,83,36,47,316.5,639.0,0.4337
1,2026-W13,Despensa,9,3,6,18.0,54.5,0.3333
1,2026-W13,Estante,6,0,6,0.0,60.0,0.0
1,2026-W13,Refrigerador,76,34,42,249.0,556.5,0.4474
1,2026-W14,Despensa,5,3,2,34.5,49.5,0.6
1,2026-W14,Estante,5,1,4,22.5,67.5,0.2
1,2026-W14,Refrigerador,72,25,47,211.5,559.5,0.3472
1,2026-W15,Despensa,3,0,3,0.0,25.0,0.0
1,2026-W15,Estante,3,0,3,0.0,30.0,0.0
1,2026-W15,Refrigerador,108,32,76,250.5,766.5,0.2963
1,2026-W16,Despensa,5,1,4,5.0,41.0,0.2
1,2026-W16,Estante,6,0,6,0.0,60.0,0.0
1,2026-W16,Refrigerador,125,54,71,319.5,808.5,0.432
1,2026-W17,Despensa,7,2,5,11.5,49.0,0.2857
1,2026-W17,Estante,4,0,4,0.0,60.0,0.0
1,2026-W17,Refrigerador,132,71,61,552.0,1006.5,0.5379
1,2026-W18,Despensa,3,1,2,6.5,16.5,0.3333
1,2026-W18,Estante,1,0,1,0.0,7.5,0.0
1,2026-W18,Refrigerador,91,39,52,366.0,670.5,0.4286
2,2026-W06,Despensa,6,0,6,0.0,57.0,0.0
2,2026-W06,Estante,1,0,1,0.0,7.5,0.0
2,2026-W06,Refrigerador,58,0,58,0.0,414.0,0.0
2,2026-W07,Despensa,5,0,5,0.0,41.0,0.0
2,2026-W07,Estante,4,0,4,0.0,60.0,0.0
2,2026-W07,Refrigerador,72,6,66,58.5,597.0,0.0833
2,2026-W08,Despensa,1,0,1,0.0,5.0,0.0
2,2026-W08,Estante,5,0,5,0.0,75.0,0.0
2,2026-W08,Refrigerador,98,42,56,301.5,778.5,0.4286
2,2026-W09,Despensa,5,0,5,0.0,37.5,0.0
