household_id,location,nutriscore,nutriscore_grupo,tipo_salida,eventos,costo,unidades
0,Despensa,B,Saludable (A-B),Consumo,32,286.0,44
0,Despensa,C,Crítico (C-D),Consumo,20,155.0,31
0,Despensa,C,Crítico (C-D),Desperdicio,3,20.0,4
0,Estante,A,Saludable (A-B),Consumo,47,487.5,65
0,Refrigerador,A,Saludable (A-B),Consumo,344,2197.5,477
0,Refrigerador,A,Saludable (A-B),Desperdicio,155,1165.5,255
0,Refrigerador,B,Saludable (A-B),Consumo,236,1737.0,339
0,Refrigerador,B,Saludable (A-B),Desperdicio,99,748.5,155
0,Refrigerador,C,Crítico (C-D),Consumo,46,504.0,62
0,Refrigerador,C,Crítico (C-D),Desperdicio,15,150.0,20
0,Refrigerador,D,Crítico (C-D),Consumo,111,774.0,172
0,Refrigerador,D,Crítico (C-D),Desperdicio,52,382.5,85
1,Despensa,B,Saludable (A-B),Consumo,13,123.5,19
1,Despensa,B,Saludable (A-B),Desperdicio,6,45.5,7
1,Despensa,C,Crítico (C-D),Consumo,33,235.0,47
1,Despensa,C,Crítico (C-D),Desperdicio,6,45.0,9
1,Estante,A,Saludable (A-B),Consumo,55,577.5,77
1,Estante,A,Saludable (A-B),Desperdicio,3,52.5,7
1,Refrigerador,A,Saludable (A-B),Consumo,272,1804.5,390
1,Refrigerador,A,Saludable (A-B),Desperdicio,210,1620.0,357
1,Refrigerador,B,Saludable (A-B),Consumo,208,1435.5,281
1,Refrigerador,B,Saludable (A-B),Desperdicio,106,810.0,167
1,Refrigerador,C,Crítico (C-D),Consumo,33,526.5,52
1,Refrigerador,C,Crítico (C-D),Desperdicio,18,198.0,24
1,Refrigerador,D,Crítico (C-D),Consumo,108,675.0,150
1,Refrigerador,D,Crítico (C-D),Desperdicio,88,657.0,146
2,Despensa,B,Saludable (A-B),Consumo,29,266.5,41
2,Despensa,B,Saludable (A-B),Desperdicio,6,52.0,8
2,Despensa,C,Crítico (C-D),Consumo,19,130.0,26
2,Despensa,C,Crítico (C-D),Desperdicio,4,25.0,5
2,Estante,A,Saludable (A-B),Consumo,60,667.5,89
2,Estante,A,Saludable (A-B),Desperdicio,7,105.0,14
2,Refrigerador,A,Saludable (A-B),Consumo,287,1923.0,419
2,Refrigerador,A,Saludable (A-B),Desperdicio,247,1930.5,424
2,Refrigerador,B,Saludable (A-B),Consumo,243,1848.0,354
2,Refrigerador,B,Saludable (A-B),Desperdicio,162,1347.0,274
2,Refrigerador,C,Crítico (C-D),Consumo,45,670.5,74
2,Refrigerador,C,Crítico (C-D),Desperdicio,17,222.0,31
2,Refrigerador,D,Crítico (C-D),Consumo,117,823.5,183
2,Refrigerador,D,Crítico (C-D),Desperdicio,105,774.0,172
3,Despensa,B,Saludable (A-B),Consumo,19,182.0,28
3,Despensa,B,Saludable (A-B),Desperdicio,7,52.0,8
3,Despensa,C,Crítico (C-D),Consumo,19,170.0,34
3,Despensa,C,Crítico (C-D),Desperdicio,3,15.0,3
3,Estante,A,Saludable (A-B),Consumo,49,495.0,66
3,Estante,A,Saludable (A-B),Desperdicio,2,22.5,3
3,Refrigerador,A,Saludable (A-B),Consumo,295,1995.0,430
3,Refrigerador,A,Saludable (A-B),Desperdicio,175,1276.5,279
3,Refrigerador,B,Saludable (A-B),Consumo,204,1588.5,299
3,Refrigerador,B,Saludable (A-B),Desperdicio,117,894.0,184
3,Refrigerador,C,Crítico (C-D),Consumo,42,604.5,61
3,Refrigerador,C,Crítico (C-D),Desperdicio,17,240.0,30
3,Refrigerador,D,Crítico (C-D),Consumo,114,774.0,172
3,Refrigerador,D,Crítico (C-D),Desperdicio,93,652.5,145
4,Despensa,B,Saludable (A-B),Consumo,14,110.5,17
4,Despensa,B,Saludable (A-B),Desperdicio,6,39.0,6
4,Despensa,C,Crítico (C-D),Consumo,32,245.0,49
4,Despensa,C,Crítico (C-D),Desperdicio,9,100.0,20
4,Estante,A,Saludable (A-B),Consumo,47,472.5,63
4,Estante,A,Saludable (A-B),Desperdicio,5,45.0,6
4,Refrigerador,A,Saludable (A-B),Consumo,308,2025.0,440
4,Refrigerador,A,Saludable (A-B),Desperdicio,213,1581.0,351
4,Refrigerador,B,Saludable (A-B),Consumo,251,1791.0,348
4,Refrigerador,B,Saludable (A-B),Desperdicio,135,1047.0,222
4,Refrigerador,C,Crítico (C-D),Consumo,46,552.0,71
4,Refrigerador,C,Crítico (C-D),Desperdicio,28,255.0,40
4,Refrigerador,D,Crítico (C-D),Consumo,113,679.5,151
4,Refrigerador,D,Crítico (C-D),Desperdicio,101,756.0,168
5,Despensa,B,Saludable (A-B),Consumo,19,188.5,29
5,Despensa,B,Saludable (A-B),Desperdicio,10,110.5,17
5,Despensa,C,Crítico (C-D),Consumo,18,125.0,25
5,Despensa,C,Crítico (C-D),Desperdicio,5,55.0,11
5,Estante,A,Saludable (A-B),Consumo,64,652.5,87
5,Estante,A,Saludable (A-B),Desperdicio,1,7.5,1
5,Refrigerador,A,Saludable (A-B),Consumo,317,2133.0,465
5,Refrigerador,A,Saludable (A-B),Desperdicio,207,1560.0,343
5,Refrigerador,B,Saludable (A-B),Consumo,217,1543.5,306
5,Refrigerador,B,Saludable (A-B),Desperdicio,115,889.5,185
5,Refrigerador,C,Crítico (C-D),Consumo,37,514.5,56
5,Refrigerador,C,Crítico (C-D),Desperdicio,24,261.0,38
5,Refrigerador,D,Crítico (C-D),Consumo,111,720.0,160
5,Refrigerador,D,Crítico (C-D),Desperdicio,100,738.0,164
6,Despensa,B,Saludable (A-B),Consumo,27,227.5,35
6,Despensa,B,Saludable (A-B),Desperdicio,12,123.5,19
6,Despensa,C,Crítico (C-D),Consumo,26,170.0,34
6,Despensa,C,Crítico (C-D),Desperdicio,14,125.0,25
6,Estante,A,Saludable (A-B),Consumo,35,397.5,53
6,Refrigerador,A,Saludable (A-B),Consumo,315,2041.5,445
6,Refrigerador,A,Saludable (A-B),Desperdicio,246,1845.0,407
6,Refrigerador,B,Saludable (A-B),Consumo,235,1740.0,338
6,Refrigerador,B,Saludable (A-B),Desperdicio,157,1263.0,258
6,Refrigerador,C,Crítico (C-D),Consumo,45,565.5,64
6,Refrigerador,C,Crítico (C-D),Desperdicio,22,244.5,31
6,Refrigerador,D,Crítico (C-D),Consumo,108,702.0,156
6,Refrigerador,D,Crítico (C-D),Desperdicio,80,549.0,122
7,Despensa,B,Saludable (A-B),Consumo,20,175.5,27
7,Despensa,B,Saludable (A-B),Desperdicio,4,32.5,5
7,Despensa,C,Crítico (C-D),Consumo,21,150.0,30
7,Despensa,C,Crítico (C-D),Desperdicio,8,65.0,13
7,Estante,A,Saludable (A-B),Consumo,62,645.0,86
7,Estante,A,Saludable (A-B),Desperdicio,3,22.5,3
7,Refrigerador,A,Saludable (A-B),Consumo,306,2107.5,456
7,Refrigerador,A,Saludable (A-B),Desperdicio,191,1366.5,300
7,Refrigerador,B,Saludable (A-B),Consumo,217,1563.0,308
7,Refrigerador,B,Saludable (A-B),Desperdicio,112,882.0,186
7,Refrigerador,C,Crítico (C-D),Consumo,41,489.0,62
7,Refrigerador,C,Crítico (C-D),Desperdicio,11,84.0,17
7,Refrigerador,D,Crítico (C-D),Consumo,138,891.0,198
7,Refrigerador,D,Crítico (C-D),Desperdicio,80,571.5,127
8,Despensa,B,Saludable (A-B),Consumo,19,175.5,27
8,Despensa,B,Saludable (A-B),Desperdicio,3,26.0,4
8,Despensa,C,Crítico (C-D),Consumo,44,325.0,65
8,Despensa,C,Crítico (C-D),Desperdicio,1,5.0,1
8,Estante,A,Saludable (A-B),Consumo,56,547.5,73
8,Estante,A,Saludable (A-B),Desperdicio,2,15.0,2
8,Refrigerador,A,Saludable (A-B),Consumo,374,2532.0,548
8,Refrigerador,A,Saludable (A-B),Desperdicio,171,1270.5,277
8,Refrigerador,B,Saludable (A-B),Consumo,214,1672.5,324
8,Refrigerador,B,Saludable (A-B),Desperdicio,101,795.0,164
8,Refrigerador,C,Crítico (C-D),Consumo,39,532.5,55
8,Refrigerador,C,Crítico (C-D),Desperdicio,9,123.0,14
8,Refrigerador,D,Crítico (C-D),Consumo,123,796.5,177
8,Refrigerador,D,Crítico (C-D),Desperdicio,57,423.0,94
9,Despensa,B,Saludable (A-B),Consumo,25,253.5,39
9,Despensa,B,Saludable (A-B),Desperdicio,5,52.0,8
9,Despensa,C,Crítico (C-D),Consumo,21,185.0,37
9,Despensa,C,Crítico (C-D),Desperdicio,1,5.0,1
9,Estante,A,Saludable (A-B),Consumo,62,637.5,85
9,Refrigerador,A,Saludable (A-B),Consumo,337,2259.0,488
9,Refrigerador,A,Saludable (A-B),Desperdicio,142,1029.0,227
9,Refrigerador,B,Saludable (A-B),Consumo,238,1750.5,348
9,Refrigerador,B,Saludable (A-B),Desperdicio,92,679.5,142
9,Refrigerador,C,Crítico (C-D),Consumo,40,400.5,59
9,Refrigerador,C,Crítico (C-D),Desperdicio,10,117.0,21
9,Refrigerador,D,Crítico (C-D),Consumo,97,621.0,138
9,Refrigerador,D,Crítico (C-D),Desperdicio,69,468.0,104
