household_id,eventos_out,eventos_waste,eventos_forced,unidades_out,unidades_waste,eventos_in,unidades_in,tasa_desperdicio_eventos,tasa_desperdicio_unidades,tasa_forced_waste,segmento_hogar,umbral_q33,umbral_q66
0,1340,378,241,1973,612,983,2015,0.2821,0.3102,0.1799,Eficiente,0.3401,0.3798
1,1357,516,371,2035,852,1189,2326,0.3803,0.4187,0.2734,Crítico,0.3401,0.3798
2,1564,658,500,2451,1115,1308,2644,0.4207,0.4549,0.3197,Crítico,0.3401,0.3798
3,1336,485,356,2031,774,1141,2270,0.363,0.3811,0.2665,Promedio,0.3401,0.3798
4,1524,593,418,2282,972,1175,2373,0.3891,0.4259,0.2743,Crítico,0.3401,0.3798
5,1463,543,362,2215,887,1165,2319,0.3712,0.4005,0.2474,Promedio,0.3401,0.3798
6,1529,628,450,2309,1022,1234,2469,0.4107,0.4426,0.2943,Crítico,0.3401,0.3798
7,1387,474,319,2077,746,1155,2312,0.3417,0.3592,0.23,Promedio,0.3401,0.3798
8,1414,407,285,2129,660,1163,2340,0.2878,0.31,0.2016,Eficiente,0.3401,0.3798
9,1324,371,229,1981,587,1068,2155,0.2802,0.2963,0.173,Eficiente,0.3401,0.3798
