event_id,household_id,product_id,product_name,action_type,classification,quantity,timestamp,fecha,semana_iso,mes,dia_semana,hora,turno,expiry_date,dias_para_vencer,location,category_name,nutriscore,calories_100g,proteins_100g,carbs_100g,bucket_calorico,is_out,is_in,is_waste,is_forced_waste,is_consumo,is_vencido,flag_riesgo_vencer
abe14959-9,3,27966,Organic Raspberries,IN,Purchase,2,2026-03-15 13:33:36,2026-03-15,2026-W11,2026-03,Sunday,13,Tarde,2026-03-22,7,Refrigerador,Frutas y Verduras,B,50.0,1.43,12.1,Bajo (<50),0,1,0,0,0,0,0
39ccee30-a,4,17794,Carrots,OUT,Consumption,1,2026-04-23 08:32:36,2026-04-23,2026-W17,2026-04,Thursday,8,Mañana,2026-04-25,2,Refrigerador,Frutas y Verduras,A,38.0,1.28,8.97,Bajo (<50),1,0,0,0,1,0,1
03660175-6,3,21616,Organic Baby Arugula,IN,Purchase,2,2026-04-01 13:06:36,2026-04-01,2026-W14,2026-04,Wednesday,13,Tarde,2026-04-08,7,Refrigerador,Frutas y Verduras,A,25.0,2.82,3.52,Bajo (<50),0,1,0,0,0,0,0
d704db02-9,1,24964,Organic Garlic,IN,Purchase,3,2026-04-30 08:09:36,2026-04-30,2026-W18,2026-04,Thursday,8,Mañana,2026-05-07,7,Refrigerador,Frutas y Verduras,C,167.0,0.0,33.3,Alto (150-300),0,1,0,0,0,0,0
30019698-2,6,10749,Organic Red Bell Pepper,OUT,Forced_Waste,1,2026-03-14 23:59:59,2026-03-14,2026-W11,2026-03,Saturday,23,Noche,2026-03-11,-3,Refrigerador,Frutas y Verduras,,,0.896,6.65,,1,0,1,1,0,1,0
588383f2-8,9,40706,Organic Grape Tomatoes,OUT,Consumption,1,2026-02-18 15:34:36,2026-02-18,2026-W08,2026-02,Wednesday,15,Tarde,2026-02-21,3,Refrigerador,Frutas y Verduras,A,36.0,1.19,7.14,Bajo (<50),1,0,0,0,1,0,0
b9da0055-e,7,42265,Organic Baby Carrots,IN,Purchase,2,2026-03-15 10:25:36,2026-03-15,2026-W11,2026-03,Sunday,10,Mañana,2026-03-22,7,Refrigerador,Frutas y Verduras,A,35.0,1.18,8.24,Bajo (<50),0,1,0,0,0,0,0
22643a75-4,5,28985,Michigan Organic Kale,IN,Purchase,3,2026-02-06 13:30:36,2026-02-06,2026-W06,2026-02,Friday,13,Tarde,2026-02-13,7,Refrigerador,Frutas y Verduras,A,35.0,2.92,4.42,Bajo (<50),0,1,0,0,0,0,0
31c43ace-0,8,27086,Half & Half,OUT,Consumption,1,2026-02-17 16:58:36,2026-02-17,2026-W08,2026-02,Tuesday,16,Tarde,2026-03-01,12,Refrigerador,Lacteos y Refrigerados,B,131.0,3.13,4.3,Medio (50-150),1,0,0,0,1,0,0
0a56672c-2,9,35951,Organic Unsweetened Almond Milk,OUT,Consumption,1,2026-02-19 21:55:36,2026-02-19,2026-W08,2026-02,Thursday,21,Noche,2026-02-22,3,Refrigerador,Lacteos y Refrigerados,A,15.0,0.55,0.34,Bajo (<50),1,0,0,0,1,0,0
