household_id,segmento_hogar,ubicacion_critica,kpi1_costo_perdido_soles,kpi2_tasa_desperdicio,kpi3_pct_nutriscore_DE,kpi4_dias_prom_vencer,total_eventos_out,total_eventos_waste,costo_total_perdido,costo_total_compras
0,Eficiente,Refrigerador,2865.0,0.2821,0.1605,-2.57,1340,378,2885.0,19805.5
1,Crítico,Refrigerador,3892.5,0.3803,0.2014,-2.69,1357,516,4035.5,21816.0
2,Crítico,Refrigerador,5115.0,0.4207,0.1916,-2.74,1564,658,5297.0,25633.0
3,Promedio,Refrigerador,3612.0,0.363,0.2246,-2.73,1336,485,3701.5,21772.0
4,Crítico,Refrigerador,4354.5,0.3891,0.2032,-2.69,1524,593,4538.5,22847.0
5,Promedio,Refrigerador,4024.5,0.3712,0.2165,-2.66,1463,543,4197.5,22456.0
6,Crítico,Refrigerador,4621.5,0.4107,0.1507,-2.71,1529,628,4870.0,23665.0
7,Promedio,Refrigerador,3331.5,0.3417,0.1956,-2.65,1387,474,3451.5,21641.5
8,Eficiente,Refrigerador,3079.5,0.2878,0.1657,-2.7,1414,407,3125.5,22272.5
9,Eficiente,Refrigerador,2671.5,0.2802,0.2163,-2.58,1324,371,2728.5,20361.0
